processed_reviews,sentiment
"['flight', 'time', 'crew', 'polite', 'story', 'outward', 'flight', 'find', 'ba', 'europe', 'generally', 'pretty', 'good', 'though', 'regret', 'substituted', 'prosecco', 'champagne', 'list', 'drink', 'buy', 'economy', 'many', 'complaint', 'ba', 'airline', 'revolve', 'around', 'lost', 'luggage', 'never', 'check', 'bag', 'even', 'long', 'trip']",positive
"['angry', 'disappointed', 'unsatisfied', 'route', 'london', 'atlanta', 'suitcase', 'boarded', 'therefore', 'landed', 'comfort', 'safety', 'reason', 'bag', 'always', 'fly', 'passenger', 'happen', 'claim', 'phone', 'call', 'made', 'desk', 'assistant', 'answered', 'question', 'unprofessionally', 'miserably', 'certainly', 'left', 'nothing', 'backpack', 'contained', 'snack', 'neither', 'clothes', 'anything', 'else', 'ever', 'provided', 'apology', 'meanwhile', 'also', 'told', 'bag', 'would', 'delivered', 'next', 'hour', 'also', 'happen', 'british', 'airway', 'great', 'airline', 'fly', 'organization', 'come', 'customer', 'service', 'poor', 'uncertain', 'still', 'waiting', 'bag']",negative
"['infrequent', 'flyer', 'british', 'airway', 'always', 'first', 'choice', 'reassurance', 'comfort', 'service', 'quality', 'luggage', 'allowance', 'etc', 'fact', 'ive', 'never', 'flown', 'budget', 'airline', 'recent', 'flight', 'changed', 'view', 'cause', 'reflect', 'actually', 'getting', 'money', 'ba', 'flight', 'around', 'hour', 'delayed', 'way', 'cabin', 'ground', 'staff', 'service', 'ok', 'facility', 'lack', 'disappointed', 'flight', 'approx', 'half', 'hour', 'thing', 'offered', 'half', 'cup', 'water', 'poured', 'bite', 'sized', 'banana', 'slice', 'cake', 'fact', 'return', 'journey', 'wasnt', 'even', 'offered', 'water', 'top', 'ba', 'longer', 'medium', 'screen', 'select', 'something', 'pas', 'time', 'away', 'wasnt', 'even', 'obligatory', 'flight', 'journey', 'wifi', 'poor', 'couldnt', 'even', 'access', 'shop', 'however', 'fee', 'much', 'available', 'explains', 'ba', 'record', 'profit', 'bn', 'question', 'paying', 'sure', 'opt', 'budget', 'airline', 'transparent', 'offer', 'pay', 'decide', 'choose', 'ba', 'stand', 'basic', 'airway', 'ill', 'go', 'elsewhere', 'get', 'basic', 'cheaper']",negative
"['totally', 'unremarkable', 'flight', 'time', 'comfortable', 'european', 'configuration', 'go', 'catering', 'due', 'storm', 'effect', 'greatly', 'exaggerated', 'advised', 'email', 'euro', 'provided', 'easy', 'use', 'lounge', 'made', 'loss']",positive
"['ground', 'crew', 'heathrow', 'left', 'passenger', 'luggage', 'bag', 'heathrow', 'ground', 'crew', 'left', 'behind', 'st', 'two', 'received', 'next', 'day', 'heathrow', 'ground', 'crew', 'lost', 'rd', 'bag', 'time', 'phone', 'hr', 'course', 'week', 'due', 'spend', 'health', 'beauty', 'item', 'wife', 'cruise', 'british', 'airway', 'said', 'might', 'reimburse', 'month', 'spend', 'cab', 'fare', 'barcelona', 'bacelona', 'ground', 'crew', 'iberia', 'claimed', 'delivered', 'u', 'heathrow', 'ground', 'crew', 'made', 'u', 'minute', 'late', 'arriving', 'back', 'heathrow', 'cruise', 'actually', 'landed', 'minute', 'early', 'incompetent', 'people', 'still', 'ready', 'u', 'heathrow', 'ground', 'crew', 'caused', 'u', 'leave', 'minute', 'late', 'even', 'though', 'passenger', 'boarded', 'ready', 'minute', 'departure', 'time', 'probably', 'mean', 'miss', 'connection', 'anchorage', 'ba', 'clearly', 'care', 'know', 'operate', 'ground', 'baseshameful', 'ba', 'joke', 'embarrassed', 'cant', 'operate', 'like', 'normal', 'airline', 'grasp', 'concept', 'even', 'small', 'hiccup', 'cause', 'mass', 'ripple', 'chaos', 'people']",positive
"['london', 'heathrow', 'gibraltar', 'th', 'october', 'shall', 'start', 'reference', 'booking', 'process', 'used', 'ba', 'website', 'reserve', 'seat', 'food', 'website', 'easy', 'use', 'clear', 'every', 'aspect', 'flight', 'due', 'depart', 'terminal', 'passenger', 'bussed', 'good', 'minute', 'different', 'part', 'airport', 'aircraft', 'stand', 'boarding', 'flight', 'cabincrew', 'kept', 'low', 'profile', 'maintained', 'entire', 'flight', 'captain', 'made', 'brief', 'announcement', 'flight', 'inflight', 'entertainment', 'seat', 'clean', 'comfortable', 'enough', 'short', 'flight', 'lack', 'catering', 'overt', 'tiny', 'bottle', 'water', 'inedible', 'breakfast', 'bar', 'one', 'use', 'online', 'system', 'order', 'even', 'drink', 'course', 'pay', 'passenger', 'next', 'could', 'use', 'online', 'system', 'doe', 'seem', 'work', 'cabin', 'refused', 'sell', 'coffee', 'fault', 'moreover', 'usb', 'charge', 'point', 'work', 'either', 'given', 'early', 'hour', 'flight', 'poor', 'show', 'even', 'sale', 'item', 'available', 'trolley', 'service', 'system', 'ba', 'place', 'good', 'enough', 'flight', 'arrived', 'ontime', 'disembarkation', 'inefficient', 'though', 'poorly', 'managed', 'crew', 'seen', 'crew', 'wearing', 'new', 'ba', 'uniform', 'seems', 'reflect', 'downward', 'trend', 'airline', 'candid', 'difference', 'ba', 'service', 'socalled', 'budget', 'rival', 'route', 'ba', 'monopoly', 'option', 'use', 'service', 'different', 'company']",positive
"['first', 'time', 'flying', 'british', 'airway', 'would', 'hesitate', 'fly', 'economy', 'flight', 'attendant', 'pleasant', 'efficient', 'excellent', 'special', 'meal', 'low', 'sodium', 'comfortable', 'space', 'economy', 'one', 'better', 'flight']",positive
"['flew', 'london', 'cairo', 'return', 'october', 'basically', 'perfectly', 'good', 'pair', 'flight', 'economy', 'pleasant', 'professional', 'cabin', 'crew', 'especially', 'return', 'journey', 'tall', 'problem', 'legroom', 'back', 'plane', 'seat', 'ok', 'getting', 'little', 'numbing', 'hour', 'return', 'rather', 'good', 'included', 'snack', 'box', 'drink', 'welcome', 'however', 'must', 'said', 'value', 'money', 'poor', 'checked', 'bag', 'return', 'leg', 'nearly', 'ticket', 'although', 'content', 'pas', 'time', 'reading', 'sleeping', 'surprising', 'find', 'inflight', 'entertainment', 'hour', 'flight', 'however', 'overall', 'would', 'still', 'recommend', 'ba', 'would', 'even', 'enthusiastically', 'sensibly', 'priced']",positive
"['absolutely', 'worst', 'experience', 'ever', 'flew', 'heathrow', 'problem', 'waited', 'hour', 'three', 'extra', 'hour', 'connection', 'porto', 'cancelled', 'flight', 'scrambled', 'hotel', 'new', 'flight', 'next', 'day', 'routed', 'u', 'madrid', 'next', 'morning', 'flight', 'hour', 'late', 'missed', 'connection', 'porto', 'missed', 'connection', 'fault', 'cancelled', 'return', 'flight', 'two', 'hour', 'phone', 'customer', 'service', 'madrid', 'airport', 'booked', 'u', 'new', 'return', 'flight', 'made', 'pay', 'fly', 'madrid', 'porto', 'reason', 'cancelled', 'return', 'flight', 'hour', 'hour', 'hour', 'customer', 'service', 'finally', 'got', 'return', 'flight', 'five', 'day', 'original', 'return', 'flight', 'meanwhile', 'lost', 'wife', 'luggage', 'finally', 'got', 'day', 'lost', 'return', 'flight', 'problem', 'reservation', 'point', 'british', 'airway', 'helpful', 'left', 'onus', 'u', 'fix', 'mistake', 'every', 'turn', 'completely', 'ruined', 'three', 'week', 'vacation', 'dont', 'care', 'wouldnt', 'even', 'let', 'u', 'speak', 'supervisor', 'manager', 'awful', 'bordering', 'passenger', 'abuse']",negative
"['flew', 'back', 'malta', 'scattering', 'son', 'ash', 'favourite', 'spot', 'boarded', 'aircraft', 'return', 'flight', 'wife', 'became', 'upset', 'member', 'cabin', 'crew', 'noticed', 'immediately', 'spoke', 'wife', 'tried', 'reassure', 'name', 'tracey', 'exceptional', 'crew', 'member', 'noticed', 'spoke', 'traveller', 'courteous', 'manner', 'friendly', 'time', 'passed', 'wife', 'asked', 'would', 'like', 'anything', 'kindness', 'made', 'difficult', 'time', 'easier', 'u', 'aircraft', 'seat', 'comfortable', 'service', 'good', 'hr', 'min', 'flight', 'thank', 'ba']",positive
"['cabin', 'luggage', 'go', 'cargo', 'even', 'said', 'carried', 'medicine', 'time', 'get', 'hand', 'luggage', 'economy', 'seat', 'virgin', 'atlantic', 'klm', 'even', 'ryanair', 'space', 'luckily', 'short', 'flight']",positive
"['using', 'ba', 'average', 'say', 'pretty', 'satisfied', 'ba', 'somehow', 'experience', 'cancellation', 'delay', 'time', 'second', 'inflight', 'service', 'usually', 'weak', 'food', 'portion', 'small', 'cabin', 'crew', 'helpful', 'especially', 'come', 'drink', 'request', 'screen', 'renewed', 'full', 'scratch', 'size', 'especially', 'longer', 'flight', 'entertainment', 'system', 'becomes', 'important', 'also', 'welcome', 'package', 'except', 'pillow', 'small', 'blanket', 'would', 'expect', 'ba', 'flying', 'u', 'anywhere', 'except', 'uk', 'would', 'recommend', 'considering', 'airline', 'flying', 'tofrom', 'uk', 'directly', 'ba', 'could', 'one', 'choice']",positive
"['flew', 'istanbul', 'london', 'business', 'class', 'half', 'flight', 'child', 'watching', 'ipad', 'loud', 'phone', 'plugged', 'three', 'row', 'front', 'disrupted', 'flight', 'could', 'hear', 'headphone', 'staff', 'thought', 'fine', 'refused', 'tell', 'mom', 'turn', 'acceptable', 'flight', 'especially', 'business', 'class', 'airline', 'turned', 'zoo', 'staff', 'given', 'training', 'customer', 'service', 'child', 'allowed', 'disrupt', 'passenger', 'told', 'staff', 'laughed', 'ba', 'customer', 'service', 'disgrace', 'ive', 'even', 'mentioned', 'food', 'bad', 'really', 'bad']",negative
"['flow', 'ba', 'several', 'time', 'since', 'airline', 'started', 'nonstop', 'service', 'austin', 'tx', 'london', 'heathrow', 'every', 'year', 'service', 'get', 'worse', 'brought', 'tape', 'measure', 'see', 'far', 'apart', 'seat', 'economy', 'section', 'inch', 'ba', 'removed', 'bathroom', 'order', 'squeeze', 'row', 'seat', 'onto', 'aircraft', 'thankfully', 'im', 'big', 'person', 'able', 'squeeze', 'seat', 'without', 'uncomfortable', 'ba', 'first', 'started', 'flying', 'austin', 'food', 'great', 'arrive', 'heathrow', 'get', 'real', 'food', 'take', 'plane', 'dont', 'know', 'make', 'ba', 'food', 'eatable', 'ba', 'direct', 'flight', 'hometown', 'london', 'would', 'fly', 'different', 'airline', 'checked', 'heathrow', 'line', 'extremely', 'long', 'one', 'person', 'checking', 'people', 'took', 'nearly', 'hour', 'get', 'counter', 'understand', 'airline', 'making', 'record', 'profit', 'need', 'make', 'lost', 'revenue', 'pandemic', 'think', 'ba', 'gone', 'far', 'little', 'concern', 'customer', 'service', 'pursuit', 'profit']",positive
"['flight', 'departed', 'hour', 'late', 'due', 'late', 'inbound', 'plane', 'plane', 'full', 'half', 'economy', 'class', 'passenger', 'forced', 'check', 'larger', 'cabin', 'baggage', 'gate', 'boarding', 'making', 'complete', 'mockery', 'hand', 'luggage', 'allowance', 'advertised', 'lot', 'passenger', 'board', 'stressed', 'missing', 'onwards', 'connection', 'due', 'delay', 'miss', 'next', 'gate', 'closed', 'time', 'disembarked', 'heathrow', 'onboard', 'service', 'ok', 'minimal', 'ba', 'gave', 'fullservice', 'airline', 'time', 'ago', 'concerning', 'trying', 'get', 'hold', 'customer', 'service', 'make', 'change', 'booking', 'deal', 'problem', 'nonexistent', 'airline', 'seems', 'make', 'deliberately', 'hard', 'customer', 'contact']",negative
"['hate', 'british', 'airway', 'get', 'london', 'oct', 'next', 'flight', 'cancelled', 'stand', 'line', 'people', 'get', 'fixed', 'tell', 'everyone', 'leave', 'airport', 'call', 'fix', 'book', 'u', 'next', 'dayvia', 'online', 'dont', 'offer', 'voucher', 'hotel', 'miss', 'tour', 'trying', 'get', 'home', 'istanbul', 'plane', 'started', 'loading', 'hour', 'ago', 'explanation', 'may', 'miss', 'next', 'flight', 'never', 'travel', 'problem', 'april', 'flight']",negative
"['ba', 'flight', 'porto', 'london', 'heathrow', 'operated', 'finnair', 'using', 'finnair', 'plane', 'crew', 'advised', 'ba', 'shortly', 'booking', 'option', 'change', 'flight', 'preferred', 'although', 'business', 'class', 'cabin', 'similar', 'layout', 'ba', 'club', 'europe', 'ie', 'middle', 'seat', 'kept', 'free', 'wife', 'felt', 'seat', 'comfortable', 'legroom', 'slightly', 'better', 'service', 'good', 'board', 'meal', 'tasty', 'chose', 'beef', 'cheek', 'good', 'landed', 'heathrow', 'although', 'passed', 'passport', 'control', 'without', 'delay', 'designated', 'baggage', 'reclaim', 'waited', 'waited', 'hour', 'ten', 'minute', 'went', 'ba', 'baggage', 'counter', 'ask', 'going', 'seemed', 'unaware', 'issue', 'said', 'would', 'find', 'next', 'hour', 'various', 'passenger', 'also', 'requested', 'information', 'despite', 'various', 'announcement', 'list', 'different', 'excuse', 'almost', 'hour', 'bag', 'finally', 'arrived', 'frustrating', 'say', 'least', 'subsequently', 'complained', 'ba', 'week', 'explanation', 'automated', 'message', 'customer', 'service', 'experiencing', 'exceptionally', 'high', 'volume', 'response', 'say', 'lot']",positive
"['customer', 'service', 'call', 'centre', 'etc', 'atrocious', 'sometimes', 'callous', 'dont', 'care', 'long', 'wait', 'speak', 'anybody', 'power', 'actually', 'solve', 'anything', 'call', 'cut', 'halfway', 'without', 'resolution', 'anyway', 'flight', 'cancelled', 'original', 'one', 'youre', 'really', 'left', 'nobody', 'care', 'onboard', 'service', 'soso', 'short', 'haul', 'semilow', 'cost', 'confusing', 'never', 'know', 'expect', 'time', 'given', 'bottle', 'water', 'small', 'snack', 'whilst', 'anything', 'else', 'paid', 'yet', 'flight', 'apparently', 'preorder', 'additional', 'food', 'confusing', 'make', 'dependable', 'cabin', 'baggage', 'theory', 'generous', 'compared', 'competitor', 'economy', 'asked', 'half', 'passenger', 'flight', 'check', 'cabin', 'baggage', 'gate', 'due', 'lack', 'space', 'overhead', 'cabin', 'leading', 'long', 'boarding', 'delay', 'whole', 'offering', 'hasnt', 'thought', 'well', 'usb', 'power', 'supply', 'work', 'throughout', 'flight', 'contrary', 'announcement', 'power', 'available', 'seatbelt', 'sight', 'turned', 'pointless', 'providing', 'socket', 'first', 'place', 'first', 'choice', 'airline', 'route', 'trying', 'use', 'avios', 'point', 'totally', 'abandon', 'fail', 'see', 'deemed', 'star', 'airline']",negative
"['frequent', 'flyer', 'ba', 'last', 'year', 'noted', 'rating', 'given', 'frankly', 'understand', 'ba', 'score', 'three', 'star', 'aspect', 'service', 'nutshell', 'ba', 'placed', 'profit', 'margin', 'passenger', 'appreciation', 'fact', 'hammered', 'home', 'return', 'leg', 'club', 'europe', 'quite', 'alarmingly', 'ba', 'appears', 'place', 'profit', 'passenger', 'safety', 'extending', 'business', 'class', 'seating', 'beyond', 'emergency', 'exit', 'row', 'failing', 'ensure', 'seated', 'exit', 'row', 'physical', 'capacity', 'actually', 'open', 'door', 'incase', 'emergency', 'reassured', 'see', 'elderly', 'slightly', 'built', 'woman', 'seated', 'responsibility', 'opening', 'overwing', 'exit', 'need', 'arisen', 'shorthaul', 'business', 'club', 'europe', 'simply', 'joke', 'useful', 'gaining', 'valuable', 'tier', 'point', 'loungepreboarding', 'benefit', 'cabin', 'crew', 'service', 'excellent', 'lack', 'space', 'reduction', 'refreshment', 'choice', 'etc', 'place', 'million', 'airmiles', 'behind', 'competing', 'airline', 'qatar', 'turkish', 'emirate', 'understand', 'true', 'definition', 'customer', 'appreciation', 'hospitality', 'ba', 'consistently', 'eroded', 'value', 'executive', 'club', 'seems', 'impression', 'recent', 'change', 'obtaining', 'avios', 'point', 'booking', 'process', 'benefit', 'passenger', 'really', 'want', 'support', 'ba', 'enjoy', 'flying', 'point', 'started', 'penny', 'pinching', 'became', 'deserving', 'name', 'budget', 'airway', 'attached', 'photo', 'taking', 'recent', 'itinerary', 'highlight', 'difference', 'customer', 'careappreciation', 'british', 'airway', 'another', 'airline', 'used', 'trip', 'flight', 'around', 'hour', 'duration', 'day', 'guess', 'one', 'show', 'ba', 'inflight', 'offering']",positive
"['flew', 'ba', 'punta', 'cana', 'took', 'trouble', 'reserve', 'seat', 'outbound', 'inbound', 'flight', 'boarding', 'gatwick', 'realised', 'moved', 'much', 'le', 'good', 'seat', 'people', 'sitting', 'seat', 'spent', 'lot', 'money', 'reserving', 'apparently', 'change', 'aircraft', 'number', 'passenger', 'automatically', 'reallocated', 'seat', 'particular', 'reason', 'crew', 'said', 'nothing', 'could', 'although', 'course', 'could', 'swapped', 'u', 'couple', 'using', 'seat', 'told', 'claim', 'refund', 'return', 'home', 'via', 'complaint', 'form', 'n', 'ba', 'offered', 'u', 'voucher', 'didnt', 'accept', 'le', 'cost', 'seat', 'also', 'naturally', 'wanted', 'money', 'back', 'eventually', 'got', 'without', 'fight', 'second', 'rate', 'shoddy', 'airline']",negative
"['downgraded', 'business', 'premium', 'economy', 'took', 'three', 'month', 'get', 'back', 'offered', 'pound', 'aud', 'difference', 'business', 'class', 'premium', 'economy', 'never', 'fly', 'aud', 'difference', 'economy', 'business', 'aud', 'owe', 'least', 'pound', 'fair', 'pound', 'downgrade', 'insulting', 'incredibly', 'painful', 'recent', 'cancer', 'operation', 'back', 'injury', 'pointed', 'need', 'lie', 'wait', 'get', 'around', 'numbing', 'insult', 'offer', 'slap', 'face', 'continue', 'degradation', 'people', 'dealt', 'airport', 'earth', 'honest', 'hard', 'working', 'people', 'actual', 'staff', 'plane', 'warm', 'friendly', 'helpful', 'system', 'ba', 'operates', 'sort', 'medieval', 'torture']",negative
"['already', 'delayed', 'aircraft', 'landed', 'apart', 'small', 'ba', 'logo', 'rear', 'fuselage', 'indication', 'carrier', 'really', 'boarding', 'turned', 'farce', 'passenger', 'group', 'told', 'wait', 'one', 'queue', 'order', 'board', 'informed', 'wrong', 'place', 'boarding', 'wasnt', 'allowed', 'yet', 'interior', 'cabin', 'reminiscent', 'ba', 'cabin', 'twenty', 'year', 'earlier', 'except', 'tight', 'legroom', 'uncomfortable', 'seating', 'made', 'budget', 'airline', 'feel', 'luxurious', 'crew', 'ba', 'unknown', 'charter', 'company', 'service', 'slow', 'usual', 'choice', 'food', 'purchase', 'ran', 'theyd', 'reached', 'row', 'requested', 'cup', 'tea', 'never', 'appeared', 'thank', 'goodness', 'airport', 'purchased', 'water', 'tiny', 'offering', 'pretzel', 'officious', 'senior', 'flight', 'attendant', 'whod', 'facilitating', 'club', 'europe', 'appeared', 'economy', 'immediately', 'slammed', 'armrest', 'whilst', 'still', 'mid', 'flight', 'making', 'already', 'uncomfortable', 'journey', 'feel', 'worse', 'cattle', 'class', 'definitely', 'say', 'happy', 'land', 'disembark', 'understatement', 'never', 'ba', 'never']",negative
